EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PtsPutbacks,TwoPtAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,RecoveredBlocks,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,AtRimAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceFtPoints,FTOffRebounds,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PtsUnassisted3s,SelfOReb,LostBallSteals,NonShootingPenaltyNonTakeFouls,SelfORebPct,SecondChanceArc3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,Charge Fouls,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,Arc3PctBlocked,on,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Blocked3s,BlockedAtRim,BlockedCorner3,DefensiveGoaltends,Technical Free Throw Trips,BlockedArc3,StepOutOfBoundsTurnovers
1628991,1610612763,Jaren Jackson Jr.,Jaren Jackson Jr.,1628991,MEM,1609.9,27,-22.0,57,55,19,7,6.0,112,1.0,1.0,5.0,8.0,1.0,3.0,6.0,9.0,4.0,3.0,15,82,1.0,2.0,2.0,2.0,3.0,3.0,7.0,4.0,8.0,3.0,1.0,4.0,4.0,3.0,1.0,12.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,19,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.46153846153846156,0.5,0.6666666666666666,0.5357142857142857,0.5,0.875,0.3076923076923077,0.1111111111111111,0.125,24.615384615384613,0.5,0.2857142857142857,0.2,0.23529411764705882,1.0,0.2,0.25,0.07692307692307693,1.0,1.0,1.0,0.6153846153846154,0.625,0.7142857142857143,0.2,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.48545000000000005,0.4108,0.41703333333333337,0.07692307692307693,0.1111111111111111,0.13333333333333333,0.4666666666666667,7.777777777777778,25.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1629111,1610612763,Jock Landale,Jock Landale,1629111,MEM,2804.8999999999996,47,-6.0,99,102,51,26,14.0,201,8.0,10.0,5.0,7.0,,2.0,13.0,18.0,2.0,6.0,32,119,3.0,5.0,6.0,9.0,10.0,6.0,24.0,22.0,4.0,2.0,2.0,,2.0,,,4.0,5.0,3.0,9.0,14.0,,,,,,3.0,3.0,,,3.0,6.0,,3.0,,1.0,1.0,1.0,24.0,51,,0.8461538461538461,1.0,0.7222222222222222,0.6,0.9,0.65,0.6,0.9,0.6956521739130435,0.6,0.9230769230769231,0.1,0.1111111111111111,0.14285714285714285,20.0,,0.125,0.20833333333333334,0.16666666666666666,0.14285714285714285,0.07692307692307693,0.25,0.5,0.8,0.8888888888888888,0.75,0.35,0.7142857142857143,0.8333333333333334,1.0,,0.1,0.6,0.5343725,0.4798,0.55217,0.13043478260869565,0.14285714285714285,0.1875,0.75,4.611111111111111,25.0,0.5151515151515151,2.0,3.0,5.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,0.1,0.2,0.18181818181818182,0.04,0.10638297872340426,0.3333333333333333,0.08333333333333333,0.25,0.047619047619047616,0.25,0.125,1.0,0.05,0.6,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1631246,1610612763,Vince Williams Jr.,Vince Williams Jr.,1631246,MEM,2104.1,35,10.0,71,71,28,23,10.0,142,,,3.0,4.0,1.0,8.0,3.0,4.0,9.0,3.0,21,71,,,,1.0,2.0,,8.0,,6.0,8.0,,3.0,4.0,3.0,,11.0,6.0,,6.0,7.0,1.0,,2.0,3.0,,3.0,5.0,,1.0,6.0,3.0,1.0,2.0,,,,,8.0,28,,,,0.75,,0.5,0.6923076923076923,,0.6666666666666666,0.75,,0.6666666666666666,0.6923076923076923,,,20.731707317073173,0.3333333333333333,,0.2727272727272727,0.17142857142857143,,,0.3333333333333333,,,,,0.3076923076923077,0.75,0.75,,0.07692307692307693,0.6153846153846154,0.6923076923076923,0.502576923076923,,0.49415000000000003,0.14285714285714285,0.4,,0.38095238095238093,9.725,25.700000000000003,0.39436619718309857,,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,,,,0.06666666666666667,,0.029411764705882353,0.16666666666666666,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.5,0.4444444444444444,1.0,1.0,1.0,0.375,0.375,1.0,0.16666666666666666,1.0,0.5,0.3333333333333333,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1641765,1610612763,Olivier-Maxence Prosper,Olivier-Maxence Prosper,1641765,MEM,7318.1,122,-30.0,259,270,124,93,42.0,529,9.0,17.0,5.0,10.0,5.0,4.0,14.0,28.0,9.0,22.0,53,308,1.0,4.0,3.0,6.0,14.0,14.0,29.0,24.0,4.0,4.0,3.0,2.0,6.0,2.0,,14.0,8.0,8.0,21.0,31.0,3.0,2.0,2.0,5.0,2.0,4.0,8.0,2.0,,15.0,24.0,,8.0,4.0,1.0,1.0,1.0,29.0,123,4.0,0.8571428571428571,0.8571428571428571,0.5,0.25,0.42857142857142855,0.4189189189189189,0.2,0.39473684210526316,0.5408163265306123,0.25,0.5370370370370371,0.24324324324324326,0.10714285714285714,,17.880794701986755,0.6,0.14285714285714285,0.125,0.13333333333333333,0.2727272727272727,0.10810810810810811,0.044444444444444446,0.4594594594594595,0.5294117647058824,0.6,1.0,0.2702702702702703,0.5,0.5,0.6,0.13513513513513514,0.10810810810810811,0.7027027027027027,0.5710297297297297,0.414,0.5471368421052631,0.17777777777777778,0.2222222222222222,0.05660377358490566,0.5471698113207547,4.210714285714286,24.155555555555555,0.47876447876447875,1.0,2.0,4.0,8.0,1.0,,4.0,2.0,,5.0,4.0,5.0,10.0,2.0,2.0,1.0,0.11764705882352941,0.5,0.06779661016949153,0.07042253521126761,0.06923076923076923,,0.1,0.14285714285714285,0.09090909090909091,0.125,0.3157894736842105,1.0,0.02702702702702703,0.4,0.5,0.42105263157894735,0.5,,,2.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,,1.0,,1.0,0.1111111111111111,0.2,0.1111111111111111,,,,0.25,0.25,1.0,0.10526315789473684,,0.15789473684210525,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.125,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1642377,1610612763,Jaylen Wells,Jaylen Wells,1642377,MEM,2195.2999999999997,37,-15.0,71,81,23,19,12.0,152,2.0,3.0,1.0,3.0,2.0,5.0,3.0,6.0,7.0,2.0,17,104,3.0,3.0,6.0,1.0,2.0,1.0,6.0,2.0,4.0,5.0,,,1.0,,,2.0,2.0,,2.0,6.0,1.0,,,1.0,,2.0,3.0,,,4.0,4.0,,2.0,,,,,6.0,22,,0.3333333333333333,0.5,0.5,1.0,0.5,0.5769230769230769,1.0,0.8333333333333334,0.5666666666666667,1.0,0.75,0.5384615384615384,,,18.823529411764707,1.0,,0.125,0.07407407407407407,,,0.08333333333333333,0.23076923076923078,0.6666666666666666,0.6666666666666666,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.15384615384615385,0.38461538461538464,0.7692307692307693,0.5377384615384616,0.5585,0.5653333333333334,0.13333333333333333,0.25,0.35294117647058826,0.35294117647058826,4.166666666666667,25.042857142857144,0.323943661971831,2.0,2.0,1.0,2.0,,2.0,1.0,,,2.0,2.0,,4.0,2.0,,,,,0.11764705882352941,0.09523809523809523,0.10526315789473684,,0.18181818181818182,,0.14285714285714285,,0.25,,,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,,,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,,1.0,1.0,0.6666666666666666,0.42857142857142855,1.0,0.42857142857142855,0.5,0.5,1.0,0.4,0.4,0.5,,,0.3333333333333333,1.0,0.4,,,,,,,,,,,,3.0,1.0,2.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1642285,1610612763,Cam Spencer,Cam Spencer,1642285,MEM,3956.6,66,-16.0,137,144,64,55,25.0,281,,1.0,1.0,3.0,1.0,9.0,1.0,7.0,10.0,6.0,17,161,,2.0,,1.0,3.0,3.0,11.0,2.0,,9.0,1.0,2.0,15.0,,2.0,32.0,4.0,3.0,7.0,8.0,1.0,1.0,,1.0,,2.0,3.0,,,5.0,7.0,,2.0,1.0,,,,11.0,64,1.0,1.0,1.0,0.14285714285714285,,0.3333333333333333,0.3235294117647059,,0.4444444444444444,0.425,,0.55,0.5882352941176471,0.14285714285714285,,12.80487804878049,1.0,0.0967741935483871,0.11428571428571428,0.10606060606060606,,0.05,0.08695652173913043,0.058823529411764705,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.058823529411764705,0.5294117647058824,0.6470588235294118,0.5033205882352941,0.39865,0.5503277777777777,0.15789473684210525,0.2222222222222222,,0.6470588235294118,11.857142857142858,25.57,0.46715328467153283,,,,1.0,3.0,,13.0,7.0,,,1.0,,1.0,3.0,,,1.0,,0.02564102564102564,,0.012987012987012988,0.06666666666666667,,,,0.2857142857142857,0.16666666666666666,,0.17647058823529413,,,0.1111111111111111,,,,,3.0,2.0,6.0,3.0,2.0,6.0,6.0,3.0,6.0,,,,0.6666666666666666,0.3,0.3333333333333333,0.3,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,0.6666666666666666,0.3333333333333333,0.3333333333333333,,1.0,,,,,,,,,,3.0,,3.0,1.0,,1.0,1.0,1.0,0.3333333333333333,0.1,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1642907,1610612763,Cedric Coward,Cedric Coward,1642907,MEM,2902.8999999999996,48,-9.0,109,116,49,42,19.0,225,2.0,4.0,3.0,8.0,1.0,14.0,6.0,13.0,15.0,10.0,34,125,1.0,2.0,9.0,3.0,6.0,7.0,19.0,10.0,2.0,14.0,2.0,,4.0,,,8.0,3.0,3.0,6.0,8.0,1.0,,2.0,3.0,1.0,2.0,5.0,1.0,1.0,6.0,11.0,1.0,5.0,1.0,,,,19.0,48,1.0,0.8333333333333334,0.8333333333333334,0.46153846153846156,0.5,0.5,0.42857142857142855,0.8,0.46153846153846156,0.5151515151515151,0.75,0.59375,0.5357142857142857,0.15384615384615385,,28.346456692913385,0.3333333333333333,0.13043478260869565,0.1111111111111111,0.12,,0.17647058823529413,0.09090909090909091,0.14285714285714285,0.5,1.0,1.0,0.2857142857142857,0.375,0.375,0.6666666666666666,0.03571428571428571,0.5,0.6785714285714286,0.5233964285714287,0.4628833333333333,0.5123961538461539,0.15625,0.29411764705882354,0.2647058823529412,0.5588235294117647,6.815384615384616,25.053333333333335,0.44954128440366975,1.0,1.0,,2.0,1.0,,4.0,,,1.0,1.0,,2.0,3.0,1.0,,0.5,,0.03571428571428571,0.03571428571428571,0.03571428571428571,,0.06666666666666667,,0.041666666666666664,,0.2,,0.03571428571428571,0.2,1.0,0.15384615384615385,,1.0,1.0,1.0,3.0,1.0,6.0,4.0,2.0,7.0,9.0,3.0,4.0,,1.0,,0.75,0.26666666666666666,0.2857142857142857,0.26666666666666666,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.07692307692307693,1.0,0.46153846153846156,0.16666666666666666,0.21428571428571427,1.0,3.0,1.0,,,,,,,1.0,0.2,3.0,2.0,2.0,,0.125,2.0,,,0.4,,1.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,True,,,,,,,,,
1629630,1610612763,Ja Morant,Ja Morant,1629630,MEM,748.5999999999999,12,-6.0,28,33,14,17,1.0,61,1.0,1.0,1.0,1.0,,4.0,2.0,2.0,4.0,2.0,12,42,1.0,1.0,2.0,,,,3.0,,4.0,4.0,,1.0,3.0,1.0,,7.0,,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,,,3.0,2.0,,1.0,,,,,3.0,13,,,,1.0,1.0,,0.8333333333333334,1.0,0.75,0.8571428571428571,1.0,0.75,0.6666666666666666,,,31.03448275862069,1.0,0.2222222222222222,,0.15384615384615385,0.2,0.25,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,1.0,,,0.6666666666666666,0.8333333333333334,0.519825,,0.5346,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.25,3.45,25.675,0.5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,2.0,,,1.0,,0.5,0.5,0.5,,,,0.5,0.5,,,,1.0,0.5,0.5,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1630583,1610612763,Santi Aldama,Santi Aldama,1630583,MEM,3032.2,51,-10.0,107,111,53,41,14.0,218,1.0,3.0,2.0,6.0,3.0,4.0,3.0,10.0,7.0,6.0,18,130,1.0,3.0,3.0,1.0,6.0,4.0,9.0,4.0,2.0,4.0,1.0,2.0,5.0,2.0,,12.0,1.0,2.0,4.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,,1.0,4.0,8.0,,2.0,2.0,1.0,1.0,1.0,9.0,53,2.0,0.6666666666666666,1.0,0.3,0.3333333333333333,0.16666666666666666,0.35294117647058826,0.3333333333333333,0.3125,0.42857142857142855,0.375,0.45,0.4117647058823529,0.1,,20.0,0.3333333333333333,0.07692307692307693,0.04,0.058823529411764705,0.125,0.07142857142857142,0.047619047619047616,0.17647058823529413,0.3333333333333333,0.5,,0.35294117647058826,0.3333333333333333,0.3333333333333333,1.0,0.17647058823529413,0.23529411764705882,0.5882352941176471,0.5030794117647059,,0.47674999999999995,0.10526315789473684,0.16666666666666666,0.16666666666666666,0.5,6.49,24.642857142857142,0.4953271028037383,1.0,2.0,,2.0,1.0,2.0,3.0,1.0,,5.0,,1.0,5.0,2.0,2.0,1.0,0.3333333333333333,0.16666666666666666,,0.18518518518518517,0.10416666666666667,,,,0.21052631578947367,,,1.0,0.058823529411764705,0.6666666666666666,0.5,0.25,,1.0,,,1.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,2.0,,,,1.0,0.2857142857142857,0.5,0.2857142857142857,0.3333333333333333,0.5,1.0,0.25,0.25,1.0,,,0.25,0.5,0.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.14285714285714285,0.3333333333333333,0.125,,True,,,,,,,,,
203484,1610612763,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,MEM,2525.0,42,-25.0,93,95,57,31,16.0,188,1.0,2.0,,2.0,1.0,9.0,2.0,6.0,10.0,4.0,17,111,,1.0,,,2.0,4.0,10.0,4.0,,9.0,2.0,,8.0,,,16.0,4.0,3.0,7.0,7.0,2.0,,1.0,3.0,3.0,1.0,1.0,,,2.0,4.0,,,2.0,1.0,1.0,1.0,8.0,56,1.0,1.0,1.0,0.3333333333333333,,,0.40625,,0.375,0.4722222222222222,,0.5,0.625,0.3333333333333333,1.0,19.626168224299064,0.6666666666666666,0.10714285714285714,0.19047619047619047,0.14285714285714285,,0.16666666666666666,0.2857142857142857,0.125,0.5,0.5,1.0,0.125,,,,0.0625,0.5625,0.75,0.51804375,0.49665,0.5401,,,,0.5882352941176471,9.200000000000001,25.080000000000002,0.6129032258064516,,,,1.0,2.0,,8.0,5.0,,,,,,2.0,2.0,,,,,,,,,,,,,,0.125,,,0.125,,,,1.0,3.0,2.0,5.0,3.0,2.0,6.0,9.0,3.0,3.0,1.0,2.0,,1.0,0.3,0.3333333333333333,0.3,,,,0.3333333333333333,0.375,1.0,0.125,,0.625,0.4,0.3333333333333333,1.0,2.0,,,,,,,,,0.3333333333333333,,,,,,1.0,,,0.3333333333333333,,1.0,,,,,0.5,0.5,1.0,,,,,1.0,,0.1,,,0.1111111111111111,True,,,,,,,,,
