EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Steals,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,BadPassSteals,Travels,Loose Ball Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,2pt And 1 Free Throw Trips,SecondChanceCorner3FGA,Charge Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,Corner3Assists,on,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,OffensiveGoaltends,SecondChanceCorner3FGM,BlockedLongMidRange,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,Charge Fouls,Defensive 3 Seconds Violations,BlockedCorner3
1628963,1610612764,Marvin Bagley III,Marvin Bagley III,1628963,WAS,2907.5,48,-9,98,104,25,37,22.0,202,10.0,12.0,5.0,5.0,2.0,3.0,2.0,7.0,1.0,12.0,19.0,1.0,3.0,27.0,112,6.0,7.0,2.0,14.0,2.0,5.0,2.0,6.0,10.0,14.0,12.0,1.0,1.0,3.0,3.0,6.0,3.0,2.0,1.0,15.0,1.0,8.0,5.0,6.0,1.0,12.0,9.0,21.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,6.0,4.0,2.0,6.0,2.0,6.0,25,0.4166666666666667,0.8333333333333334,0.631578947368421,0.8571428571428571,0.4,0.6,0.8571428571428571,0.4,0.6136363636363636,0.875,0.5,0.05,0.05263157894736842,0.14285714285714285,20.491803278688526,0.3333333333333333,0.5,0.1875,0.23529411764705882,0.19230769230769232,0.047619047619047616,0.1896551724137931,0.16363636363636364,0.2222222222222222,0.3333333333333333,0.1,0.06666666666666667,0.18181818181818182,0.2,0.16666666666666666,0.2,0.2857142857142857,0.3333333333333333,0.6,0.8333333333333334,0.8333333333333334,0.5,0.35,0.2857142857142857,0.3333333333333333,0.05,0.7142857142857143,1.0,0.6,0.6666666666666666,0.65,0.5546375,0.5482333333333335,0.58914,0.09090909090909091,0.09523809523809523,0.5185185185185185,0.2222222222222222,3.215789473684211,26.2,0.25510204081632654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1630264,1610612764,Anthony Gill,Anthony Gill,1630264,WAS,2028.0,34,11,72,80,36,39,9.0,152,6.0,8.0,2.0,4.0,4.0,4.0,,,,6.0,8.0,,2.0,14.0,69,2.0,4.0,,4.0,4.0,4.0,2.0,10.0,8.0,4.0,2.0,,1.0,,,,,,,,2.0,2.0,3.0,1.0,2.0,6.0,4.0,10.0,,2.0,,,1.0,2.0,2.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,1.0,10.0,36,0.6666666666666666,0.8,0.75,0.5,1.0,0.75,0.5,1.0,0.7777777777777778,0.5,1.0,,0.125,,13.580246913580247,1.0,0.6666666666666666,0.05263157894736842,0.09523809523809523,0.2,0.15384615384615385,0.11764705882352941,0.11764705882352941,0.14285714285714285,0.1111111111111111,,0.18181818181818182,0.1111111111111111,,,0.21428571428571427,,1.0,1.0,0.75,0.8571428571428571,0.6666666666666666,,,,,1.0,0.5,1.0,1.0,1.0,0.6936500000000001,0.62905,0.673675,,,0.2857142857142857,0.7142857142857143,1.15,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1631103,1610612764,Malaki Branham,Malaki Branham,1631103,WAS,9027.7,150,-57,304,320,96,129,47.0,624,11.0,15.0,1.0,1.0,2.0,3.0,4.0,12.0,16.0,17.0,29.0,20.0,19.0,68.0,363,2.0,2.0,,4.0,3.0,9.0,11.0,29.0,16.0,18.0,4.0,16.0,5.0,7.0,5.0,12.0,5.0,6.0,1.0,29.0,4.0,2.0,14.0,6.0,2.0,22.0,7.0,29.0,1.0,6.0,,3.0,4.0,9.0,6.0,13.0,14.0,,24.0,11.0,,,,1.0,1.0,29.0,96,0.47058823529411764,0.5333333333333333,0.5862068965517241,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5573770491803278,0.6666666666666666,0.58,0.40816326530612246,0.1724137931034483,0.4166666666666667,19.774011299435028,0.6666666666666666,0.2857142857142857,0.07142857142857142,0.02564102564102564,0.20588235294117646,0.0547945205479452,0.13157894736842105,0.039735099337748346,0.043478260869565216,,0.058823529411764705,0.034482758620689655,0.06896551724137931,0.046511627906976744,0.16666666666666666,0.1935483870967742,0.047619047619047616,1.0,0.30612244897959184,0.7333333333333333,0.7333333333333333,0.2727272727272727,0.24489795918367346,0.3333333333333333,0.5714285714285714,0.32653061224489793,0.3333333333333333,1.0,0.16666666666666666,0.6666666666666666,0.7142857142857143,0.535195918367347,0.489375,0.5091638888888889,0.18333333333333332,0.275,0.058823529411764705,0.4264705882352941,4.7655172413793085,25.715000000000003,0.3157894736842105,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,3.0,7.0,5.0,1.0,4.0,9.0,12.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.25,0.4444444444444444,0.25,0.05,0.25,0.07142857142857142,0.13333333333333333,0.3333333333333333,1.0,0.04081632653061224,1.0,1.0,0.5,0.08163265306122448,0.25,0.3333333333333333,1.0,0.25,0.25,0.75,0.3333333333333333,0.1111111111111111,0.5,0.3888888888888889,0.42857142857142855,0.25,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1642267,1610612764,Bub Carrington,Bub Carrington,1642267,WAS,4731.599999999999,79,-48,160,164,33,53,28.0,324,,2.0,,,,,,2.0,14.0,1.0,11.0,14.0,3.0,20.0,193,,,2.0,5.0,,2.0,2.0,14.0,,2.0,,14.0,1.0,11.0,1.0,12.0,1.0,6.0,2.0,25.0,1.0,1.0,3.0,4.0,,7.0,2.0,9.0,1.0,4.0,1.0,2.0,,6.0,5.0,7.0,2.0,,4.0,,,,,,,14.0,33,,,0.09090909090909091,,,0.34,0.75,0.6,0.36538461538461536,0.8333333333333334,0.6363636363636364,0.56,0.09090909090909091,0.5,16.75392670157068,0.6666666666666666,,0.08,0.02127659574468085,0.07894736842105263,0.023255813953488372,0.07954545454545454,0.022222222222222223,,0.047619047619047616,,0.029411764705882353,0.045454545454545456,0.09090909090909091,0.16666666666666666,0.058823529411764705,0.05555555555555555,,0.08,,,,0.08,,,0.56,,,,,0.64,0.4910880000000001,0.5196,0.49355000000000004,0.038461538461538464,,0.25,0.7,13.063636363636363,26.685714285714283,0.20625,1.0,,4.0,,3.0,,,,1.0,7.0,,,,,5.0,2.0,4.0,8.0,5.0,2.0,4.0,8.0,12.0,3.0,5.0,,,,,,,0.8,0.35714285714285715,0.5,0.35714285714285715,,,,,0.25,,0.28,0.14285714285714285,0.14285714285714285,,,,,,0.35714285714285715,0.35714285714285715,0.8,1.0,,,0.8,0.5,0.35714285714285715,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.06666666666666667,,,,,,,,,True,,,,,,,,,,,,,
1642860,1610612764,Will Riley,Will Riley,1642860,WAS,6388.0,106,-15,218,226,86,105,34.0,444,13.0,15.0,3.0,4.0,5.0,7.0,7.0,16.0,10.0,21.0,38.0,10.0,4.0,52.0,232,5.0,8.0,,10.0,10.0,16.0,2.0,28.0,20.0,22.0,6.0,10.0,1.0,5.0,1.0,6.0,1.0,4.0,,13.0,3.0,4.0,6.0,5.0,,11.0,8.0,19.0,2.0,9.0,,2.0,3.0,11.0,3.0,3.0,4.0,1.0,4.0,2.0,,,,,,28.0,86,0.47619047619047616,0.5555555555555556,0.5526315789473685,0.625,0.625,0.5,0.5555555555555556,0.6190476190476191,0.52,0.5555555555555556,0.6363636363636364,0.20833333333333334,0.02631578947368421,0.0625,24.015748031496063,0.8181818181818182,,0.08620689655172414,0.06666666666666667,0.12,0.057692307692307696,0.10185185185185185,0.0625,,0.12903225806451613,,0.06976744186046512,0.09090909090909091,0.10344827586206896,,0.13333333333333333,0.08333333333333333,,0.3125,0.8666666666666667,0.8666666666666667,0.6923076923076923,0.3333333333333333,0.4375,0.4666666666666667,0.20833333333333334,0.4444444444444444,0.75,0.3333333333333333,0.7142857142857143,0.5208333333333334,0.5213114583333334,0.55865,0.5176880952380952,0.04,0.05,0.19230769230769232,0.5384615384615384,7.5736842105263165,26.759999999999998,0.3944954128440367,4.0,,6.0,2.0,3.0,,,,1.0,7.0,,,,,2.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,3.0,3.0,2.0,,1.0,1.0,,,,0.5,0.2,0.4,0.2,,,0.1,,,0.14285714285714285,0.14583333333333334,0.14285714285714285,0.14285714285714285,,,,,,0.2,0.2,0.5,0.1111111111111111,,,0.23809523809523808,0.4,0.2,,,1.0,4.0,1.0,,,,,,,,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,
1642273,1610612764,Kyshawn George,Kyshawn George,1642273,WAS,1537.0,26,-14,52,52,3,12,10.0,104,1.0,2.0,,,,,,,1.0,2.0,3.0,3.0,2.0,6.0,74,,,,,,,,,2.0,2.0,,1.0,1.0,4.0,1.0,5.0,1.0,4.0,,11.0,,,1.0,,,1.0,,1.0,,1.0,2.0,2.0,,3.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,2.0,,,3,0.5,0.5,0.6666666666666666,,,0.3333333333333333,,,0.42857142857142855,,,0.5,0.3333333333333333,,15.873015873015873,0.3333333333333333,,,,0.09090909090909091,,0.045454545454545456,,,,,,,,,0.1,,,0.3333333333333333,0.5,1.0,1.0,,,,0.16666666666666666,,,,,0.8333333333333334,0.5648,,,0.14285714285714285,0.25,,,6.733333333333333,24.400000000000002,0.057692307692307696,2.0,1.0,1.0,,,,,0.5,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1630551,1610612764,Justin Champagnie,Justin Champagnie,1630551,WAS,2515.7,42,-19,88,93,31,47,18.0,181,3.0,6.0,2.0,2.0,,1.0,1.0,3.0,1.0,4.0,9.0,3.0,4.0,15.0,107,3.0,3.0,4.0,10.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,,4.0,4.0,2.0,,6.0,6.0,12.0,,1.0,,,,1.0,2.0,2.0,3.0,,6.0,3.0,1.0,,1.0,1.0,1.0,4.0,31,0.5,1.0,0.4444444444444444,1.0,0.25,0.4583333333333333,1.0,0.2,0.5,1.0,0.2857142857142857,0.25,0.1111111111111111,,14.953271028037383,1.0,,0.08695652173913043,0.13793103448275862,0.19047619047619047,,0.13636363636363635,0.08888888888888889,0.2222222222222222,0.07142857142857142,0.16666666666666666,,,0.16666666666666666,,0.2,,1.0,0.5,0.5,0.6,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.6666666666666666,1.0,0.2,,0.75,0.5149333333333334,0.5727333333333333,0.48717999999999995,0.2,0.25,0.6666666666666666,0.26666666666666666,4.455555555555556,23.833333333333332,0.3522727272727273,2.0,2.0,1.0,,,,,0.16666666666666666,,,,2.0,,1.0,1.0,,,,1.0,,,1.0,3.0,,1.0,,2.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.6666666666666666,,,1.0,,,,,0.16666666666666666,,,,1.0,1.0,1.0,,0.2,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,
1630557,1610612764,Corey Kispert,Corey Kispert,1630557,WAS,971.0,16,-5,33,33,8,13,7.0,66,2.0,3.0,,,,,,,2.0,2.0,3.0,2.0,1.0,5.0,41,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,3.0,2.0,1.0,1.0,,1.0,1.0,,8,1.0,1.0,0.6666666666666666,,,0.4,,,0.4166666666666667,,,0.4,,,14.634146341463415,,,,,,,,,,,,,,,,,,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,0.4,,,,,1.0,0.5010199999999999,0.3945,,0.3333333333333333,0.5,,,3.2999999999999994,27.55,0.24242424242424243,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,
203468,1610612764,CJ McCollum,CJ McCollum,203468,WAS,1827.4,30,-36,62,62,6,15,4.0,124,3.0,3.0,,,,,1.0,3.0,5.0,8.0,12.0,6.0,,22.0,93,,,,,,,,,4.0,12.0,,5.0,1.0,2.0,2.0,4.0,2.0,2.0,,10.0,,,,4.0,,4.0,,4.0,,,,2.0,,2.0,1.0,2.0,1.0,,3.0,1.0,,,,,,,6,0.25,0.25,0.6666666666666666,,,0.6111111111111112,,,0.5789473684210527,,,0.3333333333333333,0.08333333333333333,0.3333333333333333,31.818181818181817,,,0.19047619047619047,,,,0.125,,,,,,,0.23529411764705882,,,,,0.16666666666666666,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.2777777777777778,,,,,0.5,0.46947222222222224,,,0.05263157894736842,0.07692307692307693,,,11.375,25.650000000000006,0.0967741935483871,1.0,1.0,,,,,,,4.0,6.0,,1.0,,,2.0,,,,2.0,,,,6.0,,2.0,,,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.05555555555555555,,,,0.4,0.4,1.0,,,,,,0.4,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1641731,1610612764,Bilal Coulibaly,Bilal Coulibaly,1641731,WAS,757.1,13,-11,25,25,3,5,6.0,50,,,,,,,,1.0,1.0,,1.0,2.0,1.0,4.0,35,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,2.0,,,,2.0,1.0,3.0,,3.0,,,,,,,3.0,4.0,1.0,,2.0,1.0,,,,,,,3,,,,,,0.5,,,0.5,,,0.6666666666666666,,,12.903225806451614,,1.0,0.2222222222222222,,,,0.16666666666666666,,,,,,,,1.0,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,0.6666666666666666,0.49085,,,0.25,0.5,,,11.4,24.45,0.12,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,3.0,,1.0,,,,,,,1.0,0.5,,0.5,,,,,,,,,,,0.3333333333333333,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
