EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyTurnovers,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeFGM,LongMidRangeFGA,FTOffRebounds,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,LongMidRangePctBlocked,OffFTReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Charge Fouls,BadPassOutOfBoundsTurnovers,BlockedCorner3,Arc3PctBlocked,Travels,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends
1628963,1610612764,Marvin Bagley III,Marvin Bagley III,1628963,WAS,8797.3,147,-31,321,317,95,115,38,638,21.0,27.0,8.0,9.0,6.0,8.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,26.0,36.0,3.0,5.0,11.0,72.0,390,9.0,12.0,5.0,23.0,9.0,12.0,1.0,2.0,5.0,26.0,28.0,24.0,9.0,18.0,4.0,2.0,2.0,8.0,6.0,14.0,4.0,2.0,6.0,1.0,1.0,34.0,3.0,13.0,12.0,11.0,1.0,24.0,16.0,40.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,2.0,5.0,1.0,12.0,18.0,1.0,1.0,10.0,1.0,2.0,13.0,3.0,7.0,1.0,6.0,3.0,3.0,6.0,4.0,26.0,95,1.0,1.0,0.5384615384615384,0.8235294117647058,1.0,0.6,0.5,0.6,0.7222222222222222,0.75,0.75,0.7439024390243902,0.75,0.75,0.782608695652174,0.7666666666666667,0.8125,0.12195121951219512,0.05555555555555555,0.037037037037037035,0.1111111111111111,14.049586776859504,0.8,0.1,0.13580246913580246,0.15294117647058825,0.17647058823529413,0.046153846153846156,0.15436241610738255,0.10666666666666667,0.11538461538461539,0.1794871794871795,0.15,0.03571428571428571,0.1111111111111111,0.13333333333333333,0.14634146341463414,0.1,0.2037037037037037,0.07142857142857142,0.1111111111111111,0.6666666666666666,0.6585365853658537,0.7777777777777778,0.8076923076923077,0.47619047619047616,0.21951219512195122,0.5555555555555556,0.625,0.8,0.024390243902439025,1.0,1.0,1.0,0.0975609756097561,0.5,0.5,1.0,0.75,0.8888888888888888,0.5714285714285714,0.75,0.07142857142857142,1.0,0.07142857142857142,0.7804878048780488,0.5,0.5672841463414635,0.5767300000000001,0.5464464285714286,0.15555555555555556,0.175,0.3194444444444444,0.3611111111111111,2.7222222222222228,25.939999999999998,0.29595015576323985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1630551,1610612764,Justin Champagnie,Justin Champagnie,1630551,WAS,3501.5999999999995,58,-12,125,122,34,56,19,247,6.0,10.0,4.0,8.0,2.0,5.0,1.0,4.0,,2.0,,1.0,1.0,2.0,1.0,7.0,14.0,1.0,4.0,5.0,22.0,153,4.0,9.0,4.0,12.0,2.0,5.0,1.0,2.0,1.0,8.0,8.0,6.0,3.0,6.0,2.0,1.0,,2.0,2.0,4.0,2.0,,2.0,,,10.0,3.0,10.0,4.0,3.0,,7.0,13.0,20.0,3.0,4.0,3.0,1.0,1.0,1.0,,,1.0,,2.0,5.0,,,4.0,,,5.0,1.0,3.0,,1.0,1.0,,2.0,2.0,8.0,34,1.0,,0.5714285714285714,1.0,1.0,0.25,0.5,0.25,0.5,0.4444444444444444,0.4,0.4722222222222222,0.4,0.5,0.55,0.5,0.5714285714285714,0.2222222222222222,,,,14.093959731543624,1.0,,0.13043478260869565,0.3225806451612903,0.2,0.1,0.16279069767441862,0.21311475409836064,0.25,0.4666666666666667,,0.08,0.2,,0.21428571428571427,,0.1875,0.25,0.3,1.0,0.5555555555555556,0.6,0.6,0.5,0.2222222222222222,0.25,0.25,1.0,0.1111111111111111,,,,0.1111111111111111,0.5,0.5,1.0,0.8,0.5,0.7142857142857143,0.4,0.14285714285714285,,0.14285714285714285,0.7777777777777778,0.5,0.5634888888888889,0.5484142857142856,0.5975214285714286,0.15,0.1875,0.5454545454545454,0.36363636363636365,2.742857142857143,24.625,0.272,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1630557,1610612764,Corey Kispert,Corey Kispert,1630557,WAS,12016.4,200,-45,441,440,114,153,50,881,10.0,16.0,2.0,3.0,,3.0,2.0,5.0,4.0,9.0,1.0,1.0,14.0,33.0,9.0,12.0,21.0,18.0,42.0,8.0,86.0,542,3.0,4.0,,9.0,,6.0,4.0,10.0,4.0,16.0,16.0,8.0,51.0,2.0,33.0,14.0,3.0,7.0,7.0,14.0,5.0,2.0,6.0,1.0,,35.0,,3.0,9.0,8.0,1.0,18.0,3.0,21.0,1.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,7.0,,8.0,13.0,,1.0,10.0,,,10.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,16.0,114,2.0,2.0,0.6666666666666666,0.7272727272727273,0.9444444444444444,0.42857142857142855,0.4,0.42857142857142855,0.5714285714285714,0.75,,0.6190476190476191,0.5625,0.375,0.6417910447761194,0.5625,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.125,0.2,14.88933601609658,0.7142857142857143,0.1,0.07079646017699115,0.02857142857142857,0.09574468085106383,,0.0821256038647343,0.015,0.029411764705882353,0.0196078431372549,0.05,,,0.022727272727272728,0.09090909090909091,0.14285714285714285,0.0958904109589041,0.09523809523809523,0.034482758620689655,1.0,0.25396825396825395,0.625,0.7142857142857143,0.6,0.07936507936507936,0.4,0.5,1.0,0.14285714285714285,0.4444444444444444,0.5,1.0,0.5238095238095238,0.42424242424242425,0.42424242424242425,0.9285714285714286,0.375,0.6666666666666666,0.1875,,0.0625,1.0,0.5625,0.9206349206349206,0.42424242424242425,0.5529777777777778,0.550607142857143,0.529596875,0.06153846153846154,0.17391304347826086,0.10465116279069768,0.18604651162790697,3.2428571428571424,26.361904761904764,0.2585034013605442,,3.0,4.0,2.0,,,0.5,,0.3333333333333333,1.0,4.0,1.0,3.0,1.0,1.0,1.0,0.25,0.023809523809523808,0.1111111111111111,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1641715,1610612764,Cam Whitmore,Cam Whitmore,1641715,WAS,21239.0,354,-152,758,767,206,295,88,1525,51.0,72.0,8.0,17.0,11.0,14.0,9.0,32.0,,4.0,,,16.0,52.0,14.0,61.0,113.0,16.0,56.0,23.0,193.0,967,8.0,19.0,4.0,20.0,13.0,26.0,2.0,14.0,6.0,38.0,72.0,50.0,30.0,10.0,52.0,16.0,20.0,7.0,8.0,15.0,8.0,,5.0,1.0,1.0,38.0,5.0,12.0,21.0,14.0,4.0,39.0,19.0,58.0,4.0,15.0,12.0,3.0,13.0,6.0,5.0,7.0,18.0,1.0,15.0,25.0,4.0,2.0,21.0,,,31.0,7.0,16.0,3.0,8.0,1.0,6.0,8.0,2.0,38.0,206,1.0,3.0,0.5901639344262295,0.6428571428571429,0.625,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5398230088495575,0.42105263157894735,0.5,0.5029585798816568,0.4,0.4,0.5331491712707183,0.45454545454545453,0.4318181818181818,0.33136094674556216,0.17699115044247787,0.125,0.3125,23.22053675612602,0.7222222222222222,0.17391304347826086,0.07216494845360824,0.06451612903225806,0.1337579617834395,0.030120481927710843,0.09971509971509972,0.048295454545454544,0.1016949152542373,0.043478260869565216,0.05714285714285714,0.02127659574468085,0.08,0.05714285714285714,0.061855670103092786,0.14814814814814814,0.12931034482758622,0.14634146341463414,0.056338028169014086,0.25,0.4260355029585799,0.7083333333333334,0.8095238095238095,0.6274509803921569,0.1893491124260355,0.28125,0.4090909090909091,0.3333333333333333,0.023668639053254437,,,,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.625,0.85,0.47058823529411764,0.35,0.7857142857142857,,,0.35,0.757396449704142,0.3076923076923077,0.5657926035502961,0.5960321428571428,0.56047375,0.0898876404494382,0.13114754098360656,0.10362694300518134,0.19689119170984457,4.87787610619469,26.653571428571432,0.2717678100263852,,2.0,1.0,2.0,,,0.375,,0.14285714285714285,,1.0,,18.0,,,,,,,0.05,,,1.0,9.0,2.0,3.0,1.0,0.1111111111111111,0.09090909090909091,0.05325443786982249,0.1111111111111111,0.125,1.0,,,,,,,,,,,True,,,,,
203468,1610612764,CJ McCollum,CJ McCollum,203468,WAS,7158.299999999999,119,-51,254,252,50,67,31,506,5.0,11.0,,,,2.0,9.0,19.0,,1.0,,1.0,7.0,22.0,4.0,17.0,39.0,7.0,23.0,11.0,66.0,325,1.0,2.0,1.0,3.0,3.0,9.0,1.0,5.0,,9.0,,34.0,12.0,2.0,22.0,7.0,2.0,8.0,7.0,15.0,6.0,1.0,3.0,4.0,1.0,37.0,2.0,,7.0,6.0,,13.0,2.0,15.0,,7.0,3.0,4.0,6.0,4.0,,2.0,6.0,1.0,4.0,9.0,,,12.0,,1.0,14.0,2.0,8.0,,3.0,,3.0,3.0,3.0,9.0,50,1.0,,,,0.5714285714285714,0.30434782608695654,0.2,0.30434782608695654,0.4358974358974359,0.5,0.3333333333333333,0.4435483870967742,0.5,0.32142857142857145,0.4852941176470588,0.75,0.32142857142857145,0.3709677419354839,0.05128205128205128,0.09090909090909091,0.05263157894736842,25.60553633217993,1.0,,0.08823529411764706,,0.14893617021276595,0.03278688524590164,0.11304347826086956,0.016260162601626018,,,,0.0392156862745098,,0.041666666666666664,0.12121212121212122,0.09090909090909091,0.16666666666666666,0.09090909090909091,,1.0,0.1774193548387097,0.45454545454545453,0.5,,0.3064516129032258,0.47368421052631576,0.5,,0.016129032258064516,,,,0.3548387096774194,0.3181818181818182,0.3181818181818182,0.5714285714285714,,,0.14285714285714285,,0.07142857142857142,,0.2857142857142857,0.5483870967741935,0.3181818181818182,0.5025000000000002,0.4245,0.44762142857142856,0.11764705882352941,0.17777777777777778,0.045454545454545456,0.13636363636363635,8.85384615384615,26.352173913043476,0.1968503937007874,,1.0,,1.0,,,,,0.25,,,,9.0,,,,,,,,,,3.0,9.0,,,,,,0.14516129032258066,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,True,,,,,
1641731,1610612764,Bilal Coulibaly,Bilal Coulibaly,1641731,WAS,2210.6,37,-27,76,82,20,25,13,158,2.0,2.0,,,,,,1.0,,2.0,,1.0,,1.0,,2.0,3.0,,3.0,9.0,13.0,109,,,,,,,,1.0,2.0,2.0,2.0,2.0,,,1.0,,,1.0,4.0,5.0,4.0,,1.0,,,14.0,,,1.0,,,1.0,,1.0,,3.0,1.0,2.0,2.0,,1.0,2.0,3.0,,2.0,4.0,1.0,,5.0,,,9.0,1.0,4.0,1.0,1.0,1.0,,1.0,,2.0,20,,1.0,0.5,0.5,,,,,0.6666666666666666,,,0.3333333333333333,,,0.65,,0.5,0.5,,,,13.978494623655914,0.6666666666666666,,,,0.07142857142857142,,0.02702702702702703,,,,,,,,,,0.09090909090909091,,,,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,,,,0.3333333333333333,,,,0.16666666666666666,,,,,,,,1.0,,,0.8333333333333334,,0.5786833333333333,,0.59715,0.4444444444444444,0.6666666666666666,,0.15384615384615385,2.1999999999999997,25.099999999999998,0.2631578947368421,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,
1642267,1610612764,Bub Carrington,Bub Carrington,1642267,WAS,13642.800000000003,227,-131,483,492,125,211,57,975,4.0,6.0,,,1.0,2.0,6.0,17.0,1.0,4.0,,3.0,11.0,25.0,7.0,12.0,32.0,12.0,29.0,4.0,64.0,656,,1.0,,,4.0,12.0,1.0,10.0,3.0,14.0,12.0,12.0,27.0,,25.0,11.0,2.0,23.0,16.0,39.0,16.0,,17.0,6.0,,94.0,3.0,2.0,11.0,15.0,2.0,28.0,5.0,33.0,,3.0,1.0,2.0,14.0,12.0,9.0,2.0,23.0,1.0,7.0,19.0,,,14.0,,2.0,7.0,1.0,3.0,1.0,,,,,,14.0,125,4.0,1.0,0.5,0.5,0.75,0.41379310344827586,0.1,0.41379310344827586,0.375,,0.3333333333333333,0.4918032786885246,,0.25,0.5,,0.2916666666666667,0.47540983606557374,0.0625,,0.058823529411764705,15.992647058823529,0.6086956521739131,0.15384615384615385,0.11904761904761904,0.017241379310344827,0.12222222222222222,0.030303030303030304,0.12037037037037036,0.023255813953488372,0.05555555555555555,,,0.03571428571428571,,0.06976744186046512,0.140625,0.15789473684210525,0.12307692307692308,0.12,,,0.09836065573770492,0.6666666666666666,0.6666666666666666,1.0,0.2786885245901639,0.35294117647058826,0.375,0.16666666666666666,0.06557377049180328,0.25,0.25,1.0,0.4098360655737705,0.44,0.44,0.7272727272727273,,,0.09090909090909091,0.5,0.13636363636363635,,0.3181818181818182,0.5737704918032787,0.44,0.5059475409836066,0.5196,0.499025,0.047619047619047616,0.08823529411764706,,0.21875,9.64375,26.717241379310344,0.2587991718426501,,1.0,1.0,7.0,,,,,0.14285714285714285,,1.0,,9.0,,,2.0,,,,0.5,,,2.0,9.0,,1.0,,0.1111111111111111,,0.14754098360655737,0.2222222222222222,0.25,0.5,,5.0,,,,,,,,,True,,,,,
1642273,1610612764,Kyshawn George,Kyshawn George,1642273,WAS,11939.7,199,-75,433,434,131,175,47,867,14.0,22.0,2.0,2.0,4.0,5.0,5.0,17.0,1.0,4.0,,,11.0,29.0,12.0,23.0,52.0,12.0,33.0,13.0,95.0,533,2.0,3.0,2.0,12.0,5.0,17.0,4.0,12.0,8.0,30.0,10.0,36.0,24.0,,29.0,11.0,6.0,26.0,11.0,37.0,9.0,2.0,22.0,4.0,,85.0,2.0,3.0,12.0,13.0,4.0,29.0,6.0,35.0,,7.0,5.0,2.0,11.0,5.0,7.0,6.0,18.0,,11.0,22.0,1.0,2.0,22.0,1.0,,18.0,2.0,7.0,3.0,5.0,2.0,3.0,6.0,4.0,30.0,131,3.0,3.0,0.21739130434782608,0.21739130434782608,0.6666666666666666,0.36363636363636365,0.3333333333333333,0.36363636363636365,0.4423076923076923,0.6666666666666666,0.29411764705882354,0.4823529411764706,1.0,0.3793103448275862,0.510752688172043,1.0,0.42857142857142855,0.38823529411764707,0.11538461538461539,0.09090909090909091,0.11764705882352941,22.88659793814433,0.6111111111111112,0.26666666666666666,0.11403508771929824,0.029411764705882353,0.13043478260869565,0.02,0.12135922330097088,0.024752475247524754,0.06060606060606061,0.02,,0.024390243902439025,,0.11904761904761904,0.125,0.0625,0.12903225806451613,0.13333333333333333,,0.6666666666666666,0.25882352941176473,0.6363636363636364,0.7,0.2857142857142857,0.2,0.29411764705882354,0.3333333333333333,,0.047058823529411764,0.25,0.25,1.0,0.3411764705882353,0.3793103448275862,0.39285714285714285,0.6363636363636364,0.4,1.0,0.1724137931034483,0.8,,,0.41379310344827586,0.6470588235294118,0.3793103448275862,0.515875882352941,0.52715,0.4850379310344828,0.07777777777777778,0.12280701754385964,0.12631578947368421,0.3157894736842105,8.280769230769229,26.412121212121217,0.302540415704388,,4.0,2.0,4.0,1.0,,,,0.3333333333333333,2.0,2.0,2.0,12.0,1.0,,2.0,1.0,0.030303030303030304,,0.4,1.0,0.5,4.0,13.0,1.0,,,0.15384615384615385,0.07142857142857142,0.15294117647058825,0.3076923076923077,0.36363636363636365,0.25,,4.0,1.0,0.034482758620689655,,,,,,,True,,,,,
1642848,1610612764,Tre Johnson,Tre Johnson,1642848,WAS,9667.6,161,-61,351,355,107,159,27,706,2.0,3.0,1.0,1.0,,,12.0,22.0,3.0,6.0,,,8.0,27.0,9.0,16.0,28.0,11.0,33.0,8.0,73.0,423,1.0,1.0,,11.0,2.0,3.0,4.0,9.0,2.0,18.0,8.0,24.0,24.0,,27.0,8.0,1.0,5.0,6.0,11.0,5.0,1.0,2.0,2.0,1.0,28.0,3.0,2.0,8.0,10.0,4.0,22.0,5.0,27.0,1.0,3.0,3.0,,5.0,3.0,8.0,2.0,13.0,1.0,9.0,13.0,,,10.0,,,10.0,1.0,5.0,,3.0,2.0,1.0,3.0,3.0,18.0,107,3.0,,0.25,0.25,0.7272727272727273,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.5714285714285714,1.0,0.6666666666666666,0.5327868852459017,0.7857142857142857,0.6666666666666666,0.5615384615384615,0.7857142857142857,0.6923076923076923,0.5409836065573771,0.03571428571428571,,0.045454545454545456,20.3125,0.38461538461538464,0.25,0.10526315789473684,0.025974025974025976,0.1,0.03896103896103896,0.10285714285714286,0.032467532467532464,0.043478260869565216,0.02631578947368421,,0.029411764705882353,0.1111111111111111,0.08333333333333333,0.08,0.3333333333333333,0.1,0.1,0.03125,1.0,0.04918032786885246,0.6666666666666666,0.6666666666666666,0.5,0.36065573770491804,0.5454545454545454,0.5714285714285714,0.16666666666666666,0.09836065573770492,0.5,0.5,0.3333333333333333,0.4426229508196721,0.2962962962962963,0.2962962962962963,0.875,0.14285714285714285,1.0,,,,,0.75,0.5901639344262295,0.2962962962962963,0.50375,0.5085375,0.47561250000000005,0.07692307692307693,0.15625,0.1506849315068493,0.2465753424657534,8.89642857142857,26.509090909090915,0.30484330484330485,,4.0,6.0,3.0,,,1.0,,0.4444444444444444,3.0,6.0,3.0,9.0,,,1.0,0.5,,,0.8571428571428571,0.5,0.6666666666666666,2.0,3.0,,4.0,,,,0.04918032786885246,0.6666666666666666,0.6666666666666666,0.5,,1.0,,,3.0,1.0,,,,,True,,,,,
1631103,1610612764,Malaki Branham,Malaki Branham,1631103,WAS,860.2,14,-8,26,29,6,13,8,55,1.0,1.0,1.0,1.0,,,,2.0,,,,,,1.0,1.0,1.0,3.0,,1.0,2.0,4.0,34,1.0,1.0,,2.0,,1.0,,1.0,,,,2.0,,2.0,1.0,,1.0,3.0,,3.0,,,3.0,,,6.0,2.0,,1.0,1.0,,2.0,2.0,4.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,1.0,,,,,,,,6,,,,,,,,,0.3333333333333333,1.0,,0.25,1.0,,0.4,1.0,,0.25,0.3333333333333333,,0.5,17.64705882352941,1.0,,0.1111111111111111,,0.125,0.2857142857142857,0.11764705882352941,0.15384615384615385,,,,0.16666666666666666,1.0,,0.25,,0.14285714285714285,,,,0.25,1.0,1.0,,0.5,,,,,,,,0.25,,,,1.0,1.0,,,,,0.5,0.5,,0.4717625,,0.458575,0.2,0.25,0.5,,4.333333333333333,26.4,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
