EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedCorner3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeAssists,DefTwoPtRebounds,Steals,BadPassSteals,SecondChanceTurnovers,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangeFGM,PenaltyFtPoints,LostBallSteals,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3FGM,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PtsUnassisted3s,AtRimPctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,BlockedShortMidRange,on,PenaltyCorner3FGM,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FTDefRebounds,FG3APctBlocked,Corner3PctBlocked,DefFTReboundPct,Travels,Arc3PctBlocked,DefensiveGoaltends,Charge Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips
203903,1610612752,Jordan Clarkson,Jordan Clarkson,203903,NYK,3642.2,61,2,121,118,21,6.0,22.0,239,4.0,8.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,3.0,1.0,4.0,10.0,2.0,3.0,3.0,6.0,17.0,4.0,13.0,4.0,28.0,132,2.0,3.0,2.0,1.0,5.0,2.0,3.0,3.0,4.0,13.0,4.0,8.0,12.0,4.0,10.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,4.0,4.0,4.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,13.0,21,0.3333333333333333,0.5,1.0,0.3076923076923077,0.75,0.3076923076923077,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.4,0.4,0.9285714285714286,0.4375,0.5,0.9285714285714286,0.43333333333333335,0.058823529411764705,1.0,23.684210526315788,0.5,0.05714285714285714,0.11428571428571428,0.05,0.07547169811320754,0.05333333333333334,0.1111111111111111,0.06451612903225806,0.08,0.2,0.16666666666666666,1.0,0.26666666666666666,0.5,0.5,0.5,0.26666666666666666,0.25,0.25,0.03333333333333333,0.1,0.3333333333333333,0.4,0.4,1.0,0.4,0.5,0.4,0.14285714285714285,1.0,0.14285714285714285,0.42857142857142855,1.0,0.7,0.4,0.5525733333333334,0.5289166666666666,0.5378285714285714,0.09375,0.15789473684210525,0.17857142857142858,0.4642857142857143,6.26470588235294,25.72307692307692,0.17355371900826447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1630574,1610612752,Ariel Hukporti,Ariel Hukporti,1630574,NYK,691.8,12,-6,24,23,4,,2.0,47,,,,,,,,1.0,,,,,,,,,,1.0,,,,,31,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,2.0,,1.0,1.0,2.0,1.0,3.0,,1.0,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1.0,,7.692307692307692,1.0,0.16666666666666666,0.2,,0.3333333333333333,0.08333333333333333,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.4865,,,,,,,4.7,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1629013,1610612752,Landry Shamet,Landry Shamet,1629013,NYK,871.3,15,-4,28,27,7,6.0,4.0,55,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,29,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1.0,,,5.88235294117647,,,0.1111111111111111,,0.08333333333333333,,,,0.16666666666666666,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,1.0,,0.5736,,,,,,,,24.85,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1628973,1610612752,Jalen Brunson,Jalen Brunson,1628973,NYK,1506.8000000000002,25,6,55,52,20,1.0,8.0,107,3.0,4.0,1.0,1.0,2.0,2.0,5.0,8.0,3.0,1.0,,,4.0,,,,10.0,15.0,,5.0,7.0,27.0,58,1.0,2.0,,,2.0,4.0,6.0,,,11.0,6.0,14.0,,,4.0,,1.0,2.0,3.0,5.0,3.0,,1.0,1.0,13.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,,2.0,2.0,,,6.0,9.0,2.0,4.0,,,,,11.0,20,0.3,0.3,,,,,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5869565217391305,0.5,0.7857142857142857,0.25,0.06666666666666667,,36.36363636363636,1.0,0.07142857142857142,0.0625,,0.05263157894736842,0.03571428571428571,,,0.08333333333333333,,,,0.2,0.75,0.75,0.3333333333333333,0.4,0.625,0.7142857142857143,0.15,0.05,0.2,,,,0.5,1.0,,0.3333333333333333,1.0,,,,0.45,,0.5043000000000001,0.3859,0.5192833333333332,0.21739130434782608,0.23529411764705882,0.07407407407407407,0.4074074074074074,8.273333333333333,25.380000000000003,0.36363636363636365,,,2.0,,,0.125,,,,2.0,3.0,2.0,1.0,1.0,0.5,0.2,0.6666666666666666,0.6666666666666666,0.5,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,1410.1999999999998,24,-5,48,45,12,5.0,12.0,93,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,2.0,1.0,1.0,58,,,,,,,,,,,,,,,1.0,,,4.0,2.0,6.0,1.0,1.0,3.0,1.0,14.0,2.0,2.0,2.0,4.0,4.0,8.0,,,,1.0,1.0,,1.0,1.0,,,,,4.0,2.0,,1.0,,,,,,12,,,,,,,,,,,,,0.125,,,0.6666666666666666,,,7.8125,,0.14285714285714285,0.2222222222222222,0.125,0.2857142857142857,0.13333333333333333,0.16666666666666666,0.14285714285714285,0.25,0.2,,,,,,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,0.4940166666666667,,,0.25,0.5,,,12.3,24.4,0.25,,2.0,2.0,2.0,,,0.4,,,,,,1.0,,0.5,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1628969,1610612752,Mikal Bridges,Mikal Bridges,1628969,NYK,2139.8999999999996,36,-12,72,74,11,1.0,11.0,146,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,,2.0,,1.0,3.0,,,,2.0,7.0,3.0,5.0,2.0,15.0,82,1.0,1.0,,,2.0,1.0,2.0,,,2.0,4.0,,9.0,,3.0,1.0,,,,,,,,,,1.0,,2.0,5.0,1.0,6.0,,1.0,1.0,1.0,,,2.0,,,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,2.0,11,1.0,1.0,1.0,0.6,,0.6,0.2857142857142857,1.0,0.5,0.5416666666666666,1.0,0.5,0.5769230769230769,1.0,0.5,0.4166666666666667,,,17.045454545454547,0.5,,0.08333333333333333,0.041666666666666664,0.1388888888888889,0.02127659574468085,,0.05555555555555555,0.05555555555555555,0.16666666666666666,,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.25,0.25,,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,0.5,1.0,,,,0.6666666666666666,0.3333333333333333,0.5687666666666666,0.8201,0.63745,0.07692307692307693,0.125,0.13333333333333333,0.13333333333333333,7.057142857142858,24.439999999999998,0.1527777777777778,,3.0,2.0,2.0,,,0.25,,,,,,,,,1.0,,,,1.0,,0.25,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1628384,1610612752,OG Anunoby,OG Anunoby,1628384,NYK,1692.9,28,15,55,52,4,3.0,9.0,107,5.0,6.0,2.0,3.0,,,,1.0,,2.0,,,3.0,1.0,,,5.0,7.0,1.0,5.0,2.0,15.0,51,2.0,3.0,1.0,,4.0,,,,,,6.0,4.0,3.0,,3.0,,,,,,,,,,,1.0,3.0,2.0,3.0,4.0,7.0,1.0,,,,,,,,1.0,3.0,,,2.0,3.0,1.0,2.0,,,1.0,,,4,0.6,0.6,1.0,0.2,,0.2,0.7142857142857143,0.6666666666666666,,0.5416666666666666,0.5,,0.5769230769230769,0.5,,0.4166666666666667,,,19.11764705882353,,0.1875,0.1111111111111111,0.0625,0.10714285714285714,0.125,0.125,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.16666666666666666,,0.5,0.8333333333333334,0.8333333333333334,0.6,0.08333333333333333,,,,0.16666666666666666,0.25,,,,0.75,0.6666666666666666,0.25,,,,,,0.9166666666666666,,0.6265541666666667,0.64305,,0.15384615384615385,0.25,0.26666666666666666,,2.4142857142857146,25.14,0.07272727272727272,,1.0,,,,,0.1,0.2,0.25,,,,,,0.3333333333333333,,,,,0.5,,,,1.0,,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1630540,1610612752,Miles McBride,Miles McBride,1630540,NYK,924.1,15,14,29,29,9,,6.0,58,,,,,,,,,,1.0,1.0,1.0,4.0,1.0,,2.0,,,1.0,5.0,2.0,5.0,28,,,2.0,,,,,,3.0,2.0,,,3.0,,4.0,1.0,,1.0,,1.0,,,1.0,,2.0,,,,2.0,,2.0,,,,,,,,,1.0,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,2.0,9,,,1.0,0.2,,0.2,,,,0.3,,,0.4166666666666667,,0.25,1.0,,,14.634146341463415,,,,,0.13333333333333333,,,,,,,1.0,,,,,,,,,0.2,0.8,0.25,0.25,1.0,,,0.5,,,0.3333333333333333,0.6666666666666666,,1.0,0.25,0.5666399999999999,0.5751,0.5721999999999999,0.16666666666666666,1.0,,0.4,,25.220000000000002,0.3103448275862069,,2.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,2.0,1.0,1.0,,,,,,,,,0.5,,,,1.0,1.0,,,,1.0,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1642278,1610612752,Tyler Kolek,Tyler Kolek,1642278,NYK,1844.4,31,1,57,57,1,2.0,13.0,114,3.0,4.0,,,,,1.0,1.0,,1.0,,2.0,8.0,3.0,,,4.0,5.0,2.0,9.0,,14.0,66,,,3.0,,,,,,,,2.0,6.0,3.0,,8.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,,14.0,2.0,,,1.0,2.0,3.0,,1.0,1.0,1.0,,,2.0,,2.0,5.0,,,4.0,,,,,,,,,1,0.25,0.25,0.5,0.2222222222222222,,0.2222222222222222,0.8,,,0.5,,,0.5,,,0.6428571428571429,0.2,,21.62162162162162,0.5,,,0.08695652173913043,0.03571428571428571,0.05405405405405406,,0.10526315789473684,,,,,0.2857142857142857,0.75,1.0,,0.07142857142857142,1.0,1.0,,0.07142857142857142,0.5714285714285714,0.25,0.25,0.5,,,1.0,,,,,,0.9285714285714286,0.25,0.5727392857142858,0.5463,,,,,,3.6799999999999997,25.799999999999997,0.017543859649122806,,1.0,,,,,0.07692307692307693,,,,,,1.0,,,1.0,,,,,,0.14285714285714285,,,1.0,,,,,,,,3.0,0.25,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1627824,1610612752,Guerschon Yabusele,Guerschon Yabusele,1627824,NYK,1096.0,18,1,37,37,7,,8.0,74,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,3.0,45,,,1.0,,3.0,,,1.0,1.0,3.0,,,3.0,,2.0,1.0,,,,,,,,,,3.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,3.0,7,,,1.0,0.5,1.0,0.5,,,,0.75,1.5,1.5,0.75,1.5,1.5,1.0,,,6.382978723404256,1.0,0.2,0.18181818181818182,0.2,0.11764705882352941,0.2,,0.18181818181818182,0.2222222222222222,,1.0,,,,,,,,,,,1.0,0.5,0.5,1.0,,,1.0,,,,1.0,1.0,1.0,0.5,0.53085,,0.53385,,,1.0,1.0,,26.9,0.1891891891891892,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.25,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,
