EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3PctBlocked,Arc3PctBlocked,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,NonHeaveFg3Pct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG3M,DefThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,PenaltyFg3Pct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,Corner3FGM,PtsAssisted3s,LongMidRangeAssists,Assisted3sPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceTurnovers,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PtsPutbacks,on,PenaltyCorner3FGM,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,Arc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,Arc3Assists,SelfOReb,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,Charge Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,BlockedAtRim,FTOffRebounds,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,LongMidRangePctBlocked,OffFTReboundPct,Defensive 3 Seconds Violations
1628975,1610612741,Jevon Carter,Jevon Carter,1628975,CHI,1143.0,19,-11,35,35,19.0,15.0,8,70,1.0,5.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,8,4.0,2.0,8.0,44,1.0,1.0,2.0,2.0,4.0,3.0,5.0,3.0,2.0,8.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,8.0,19.0,0.6666666666666666,0.6666666666666666,0.375,1.0,0.6,0.25,0.3333333333333333,0.375,0.3076923076923077,0.5,0.4444444444444444,0.3333333333333333,0.5,0.125,0.2,1.0,0.3333333333333333,33.333333333333336,0.2,0.07692307692307693,0.1111111111111111,0.038461538461538464,0.1,1.0,0.4166666666666667,0.2,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,0.08333333333333333,0.25,0.6666666666666666,0.375,0.3333333333333333,0.125,0.25,0.75,0.5604291666666666,0.5065000000000001,0.5341437499999999,0.07692307692307693,0.1111111111111111,0.5,1.0,7.575,25.125,0.5428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628989,1610612741,Kevin Huerter,Kevin Huerter,1628989,CHI,393.0,7,3,13,10,4.0,,4,23,1.0,1.0,,,,1.0,,,1.0,,,2.0,3,1.0,,7.0,10,2.0,3.0,,,4.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,0.875,0.6666666666666666,,0.875,0.6666666666666666,,0.25,,,,,,25.0,,,,,,,0.25,1.0,1.0,0.25,,,,,0.25,,,,,,0.5,0.519625,0.54535,,,,0.5714285714285714,,7.2,25.8,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630172,1610612741,Patrick Williams,Patrick Williams,1630172,CHI,1206.0,20,-13,43,41,26.0,25.0,4,84,,1.0,,1.0,,,,,2.0,,1.0,1.0,6,2.0,,5.0,52,,,,,,1.0,6.0,1.0,,5.0,,2.0,2.0,2.0,,,,,,,,,2.0,7.0,,7.0,1.0,,,1.0,1.0,2.0,,,,,,5.0,26.0,,,0.16666666666666666,,0.16666666666666666,0.3125,,0.35714285714285715,0.3125,,0.35714285714285715,0.25,,0.3333333333333333,1.0,,,20.833333333333336,0.4,,0.5,,,,0.125,,,,,,,,0.25,,0.14285714285714285,,,0.14285714285714285,0.375,0.4739375,,0.4643714285714285,,,,1.0,6.95,25.85,0.6046511627906976,,,1.0,5.0,1.0,1.0,3.0,1.0,0.5,0.5,,0.625,0.2,0.25,,0.5,0.5,,,,0.5,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.5555555555555556,0.4,0.42857142857142855,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630200,1610612741,Tre Jones,Tre Jones,1630200,CHI,977.0,16,-5,38,35,13.0,19.0,2,73,3.0,3.0,,,2.0,2.0,,,1.0,,,6.0,8,1.0,5.0,20.0,44,,,,,,2.0,3.0,,,4.0,4.0,8.0,1.0,,,1.0,,1.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,3.0,5.0,3.0,4.0,13.0,0.3333333333333333,0.3333333333333333,0.75,,0.6666666666666666,0.8333333333333334,,0.6666666666666666,0.9090909090909091,,0.6666666666666666,0.1111111111111111,,,,,,28.205128205128204,,,0.07692307692307693,,,,0.3333333333333333,1.0,1.0,0.2222222222222222,1.0,1.0,,,0.1111111111111111,,,,,,0.4444444444444444,0.49849999999999994,,0.4461333333333333,0.2727272727272727,0.3,,0.2,7.987500000000002,26.0,0.34210526315789475,,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,0.125,,0.125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642950,1610612741,Lachlan Olbrich,Lachlan Olbrich,1642950,CHI,2155.0,36,-6,72,70,28.0,31.0,13,142,1.0,3.0,,,,,1.0,1.0,2.0,2.0,,1.0,3,3.0,,2.0,78,,,2.0,,,,,1.0,,,2.0,,2.0,1.0,,2.0,1.0,3.0,1.0,1.0,7.0,1.0,4.0,8.0,3.0,11.0,,,,2.0,,2.0,4.0,8.0,4.0,,,,28.0,1.0,1.0,0.3333333333333333,,,0.16666666666666666,,,0.16666666666666666,,,0.5,,0.3333333333333333,0.3333333333333333,,,9.30232558139535,0.3333333333333333,0.05,0.2413793103448276,0.07317073170731707,0.06666666666666667,,0.5,0.3333333333333333,0.5,,,,,0.16666666666666666,0.3333333333333333,1.0,,,1.0,,1.0,0.5504666666666667,0.3987,0.6138,,,,,2.2333333333333334,24.899999999999995,0.3888888888888889,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,1.0,,,,0.17647058823529413,0.3333333333333333,0.14285714285714285,0.3333333333333333,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.25,0.09523809523809523,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641801,1610612741,Emanuel Miller,Emanuel Miller,1641801,CHI,1161.0,19,3,38,40,11.0,20.0,7,78,1.0,3.0,1.0,2.0,1.0,1.0,2.0,,3.0,,1.0,2.0,5,5.0,,10.0,39,1.0,2.0,,,2.0,2.0,3.0,1.0,,4.0,4.0,,3.0,,,3.0,,3.0,,2.0,6.0,,,1.0,1.0,2.0,1.0,1.0,,,,,2.0,2.0,,,,4.0,11.0,1.0,1.0,0.4,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,21.73913043478261,,,0.07692307692307693,0.043478260869565216,,,0.3,0.3333333333333333,0.3333333333333333,0.1,1.0,1.0,1.0,0.2,0.3,,0.5,0.5,,0.25,0.8,0.5329849999999998,0.4366,0.5369625,,,0.2,0.4,7.359999999999999,24.559999999999995,0.2894736842105263,1.0,1.0,,1.0,,2.0,,,0.4,0.4,1.0,0.1,,,,,,0.5,1.0,1.0,,,,1.0,,,,,,,,0.16666666666666666,,0.3333333333333333,,,,,1.0,,,,,,,0.07142857142857142,0.125,,2.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630581,1610612741,Josh Giddey,Josh Giddey,1630581,CHI,992.0,17,-4,34,34,13.0,14.0,6,68,,1.0,,1.0,,,,,2.0,,1.0,,1,2.0,,,41,,,,,,,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,3.0,1.0,4.0,,,,,,3.0,1.0,1.0,,,,,13.0,,,,,,,,,,,,0.6666666666666666,,1.0,1.0,,,15.384615384615383,0.4,0.09090909090909091,0.17647058823529413,0.058823529411764705,0.125,1.0,0.3333333333333333,,,,,,,,0.6666666666666666,,0.5,,,0.5,1.0,0.5569999999999999,,0.554325,,,,,2.9,25.55,0.38235294117647056,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,3.0,,,,1.0,0.08333333333333333,0.25,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631207,1610612741,Dalen Terry,Dalen Terry,1631207,CHI,235.0,4,-5,8,7,8.0,3.0,2,15,1.0,1.0,1.0,1.0,,,,,,,,1.0,1,,,2.0,11,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,2.0,8.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,10.0,,0.2,0.3333333333333333,0.16666666666666666,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,0.7621,,0.7621,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641763,1610612741,Julian Phillips,Julian Phillips,1641763,CHI,823.0,14,-3,25,25,7.0,9.0,7,50,1.0,1.0,,,,,2.0,,2.0,,,1.0,1,4.0,,5.0,26,,,1.0,,3.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,7.0,1.0,1.0,1.0,,,0.5,1.5,,0.5,1.5,,0.8,,,,,,15.15151515151515,,,,,,,0.2,1.0,1.0,,,,,0.4,0.4,,,,,,1.0,0.52898,,,,,0.6,,2.4,24.475,0.28,,,,,,1.0,,,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,0.5,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630245,1610612741,Ayo Dosunmu,Ayo Dosunmu,1630245,CHI,775.0,13,15,25,24,4.0,5.0,3,49,1.0,1.0,,,,,2.0,,1.0,,,1.0,1,3.0,,5.0,12,,,,,,,,,,,2.0,,1.0,,,2.0,,2.0,,,4.0,,1.0,2.0,,2.0,,,,,,,1.0,3.0,,,,,4.0,1.0,1.0,1.0,,,0.625,,,0.625,,,0.75,,,,,,13.333333333333334,0.125,,0.10526315789473684,,,,0.25,1.0,1.0,,,,,0.5,0.25,,,,,,1.0,0.577,,,,,,,1.3,24.2,0.16,,,,,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.09090909090909091,0.14285714285714285,0.1,,,,1.0,,,,,,,,,,,1.0,3.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
