EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,Usage,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,FtPoints,Points,SecondChanceFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,TsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,DefTwoPtRebounds,DefRebounds,Offensive Fouls Drawn,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,FG3APct,Corner3Frequency,PenaltyCorner3Frequency,Avg3ptShotDistance,LongMidRangeFGA,LongMidRangeFrequency,on,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsPutbacks,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,OffensiveGoaltends,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceCorner3FGM,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Travels,Loose Ball Fouls,DefLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangeAssists,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,FTOffRebounds,Charge Fouls,OffFTReboundPct
1630639,1610612761,A.J. Lawson,A.J. Lawson,1630639,TOR,215.0,4.0,-1.0,7.0,7,4.0,3.0,1.0,14,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,11.11111111111111,1.0,1.0,0.7093,1.9,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631218,1610612761,Trayce Jackson-Davis,Trayce Jackson-Davis,1631218,TOR,215.0,4.0,-1.0,7.0,7,4.0,3.0,1.0,14,1.0,1.0,7.0,,,,,,4.0,,,33.333333333333336,1.0,1.0,0.6405,,0.5714285714285714,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,0.3333333333333333,0.25,1.0,1.0,0.6405,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641711,1610612761,Gradey Dick,Gradey Dick,1641711,TOR,215.0,4.0,-1.0,7.0,7,4.0,3.0,1.0,14,,,7.0,,,,,,4.0,,,,,,,,0.5714285714285714,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642367,1610612761,Jonathan Mogbo,Jonathan Mogbo,1642367,TOR,215.0,4.0,-1.0,7.0,7,4.0,3.0,1.0,14,2.0,2.0,7.0,,,,,,4.0,,,22.22222222222222,1.0,1.0,0.7645,1.15,0.5714285714285714,1.0,,4.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,2.0,1.0,1.0,,,,1.0,0.7786,,,0.5,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7504,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642419,1610612761,Jamison Battle,Jamison Battle,1642419,TOR,121.0,2.0,2.0,4.0,4,4.0,,,8,,,2.0,,,,,,4.0,,,25.0,,1.0,0.55935,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55935,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202066,1610612761,Garrett Temple,Garrett Temple,202066,TOR,94.0,2.0,-3.0,3.0,3,,3.0,1.0,6,,1.0,5.0,,1.0,1.0,1.0,2.0,,,,20.0,,,0.2926,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627742,1610612761,Brandon Ingram,Brandon Ingram,1627742,TOR,8885.699999999999,148.0,-20.0,304.0,307,83.0,87.0,34.0,611,9.0,45.0,358.0,3.0,8.0,11.0,4.0,25.0,81.0,0.06666666666666667,0.2222222222222222,22.832369942196532,0.15517241379310345,0.3793103448275862,0.5018991379310345,12.011111111111111,0.2730263157894737,,17.0,60.0,2.0,11.0,31.0,,2.0,16.0,5.0,10.0,2.0,6.0,10.0,1.0,21.0,23.0,6.0,31.0,0.43478260869565216,0.7380952380952381,,0.015037593984962405,,,0.531625,0.1076923076923077,0.11764705882352941,0.5166666666666667,3.0,14.0,1.0,0.057692307692307696,0.09774436090225563,0.08,1.0,,,,14.0,,3.0,4.0,8.0,10.0,0.35714285714285715,0.35714285714285715,0.3111111111111111,,0.5,0.3706896551724138,0.1875,0.7142857142857143,0.1875,0.1111111111111111,0.14285714285714285,,,,,,0.4784607142857143,0.05,2.0,1.0,13.0,6.0,0.22413793103448276,0.034482758620689655,0.07142857142857142,25.507692307692306,22.0,0.3793103448275862,False,4.0,14.0,9.0,1.0,1.0,1.0,4.0,11.0,1.0,5.0,3.0,5.0,5.0,1.0,6.0,4.0,18.0,15.0,11.0,4.0,3.0,1.0,2.0,4.0,2.0,10.0,1.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,0.38461538461538464,0.16666666666666666,0.6666666666666666,0.38461538461538464,0.045454545454545456,0.5,0.09090909090909091,0.12345679012345678,0.038461538461538464,0.02702702702702703,0.06666666666666667,0.043478260869565216,0.1016949152542373,0.18181818181818182,1.0,0.2413793103448276,0.2857142857142857,0.2857142857142857,0.25,0.4090909090909091,0.42857142857142855,0.4444444444444444,0.5,0.5,1.0,0.1896551724137931,0.36363636363636365,0.36363636363636365,1.0,0.125,0.625,0.2,1.0,1.0,0.35714285714285715,0.6,0.36363636363636365,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627751,1610612761,Jakob Poeltl,Jakob Poeltl,1627751,TOR,6721.1,112.0,-4.0,235.0,234,30.0,25.0,27.0,469,17.0,26.0,261.0,3.0,3.0,10.0,2.0,27.0,30.0,0.11538461538461539,0.11764705882352941,12.686567164179104,0.6538461538461539,0.6538461538461539,0.6187961538461539,3.338461538461538,0.1276595744680851,4.0,8.0,40.0,5.0,3.0,5.0,9.0,10.0,35.0,1.0,4.0,1.0,15.0,15.0,,9.0,10.0,5.0,5.0,0.6666666666666666,0.5,0.14516129032258066,0.09174311926605505,0.17647058823529413,0.8,0.57606,0.1724137931034483,0.1724137931034483,0.125,11.0,25.0,,0.2391304347826087,0.21568627450980393,0.25,12.0,1.0,1.0,2.0,16.0,2.0,7.0,1.0,3.0,24.0,0.75,0.8,0.6153846153846154,0.4,0.3333333333333333,0.6153846153846154,0.4,0.3333333333333333,0.5,0.7058823529411765,0.8,0.8333333333333334,0.25,,0.6666666666666666,0.5,0.6397666666666667,0.175,,,,,,,,,,,False,4.0,9.0,,,,,,,,,,,,,,,8.0,,,,7.0,7.0,,1.0,1.0,11.0,3.0,4.0,4.0,,3.0,,,3.0,,,1.0,5.0,4.0,1.0,6.0,4.0,,1.0,,,,,,,0.75,0.2727272727272727,0.19642857142857142,0.02127659574468085,0.030303030303030304,,0.25,0.16666666666666666,0.25,0.6666666666666666,0.34615384615384615,0.4444444444444444,0.5,0.5,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.1111111111111111,0.2631578947368421,0.038461538461538464,0.2857142857142857,,,,,,,,,,,,,,,,
1629628,1610612761,RJ Barrett,RJ Barrett,1629628,TOR,13673.2,228.0,8.0,453.0,452,103.0,113.0,61.0,905,37.0,69.0,523.0,6.0,11.0,22.0,9.0,55.0,101.0,0.08695652173913043,0.10810810810810811,27.46212121212121,0.34579439252336447,0.7009345794392523,0.5731495327102804,4.753623188405797,0.22737306843267108,8.0,22.0,146.0,11.0,5.0,34.0,10.0,14.0,45.0,9.0,22.0,5.0,8.0,21.0,2.0,24.0,36.0,18.0,34.0,0.5934959349593496,0.5862068965517241,0.08064516129032258,0.06698564593301436,,0.47058823529411764,0.5807727272727272,0.1487603305785124,0.21686746987951808,0.2328767123287671,9.0,31.0,1.0,0.1,0.11219512195121951,0.06382978723404255,26.0,4.0,9.0,14.0,38.0,6.0,28.0,10.0,17.0,28.0,0.3684210526315789,0.4117647058823529,0.5507246376811594,0.5454545454545454,0.5882352941176471,0.5794392523364486,0.7058823529411765,0.58,0.6666666666666666,0.7027027027027027,0.7878787878787878,0.4230769230769231,0.5,0.25,0.56,0.6428571428571429,0.6226740000000001,0.1917808219178082,7.0,,38.0,8.0,0.35514018691588783,0.06542056074766354,,25.834210526315786,,,False,12.0,32.0,,4.0,1.0,,12.0,31.0,3.0,5.0,3.0,8.0,16.0,4.0,6.0,3.0,48.0,42.0,31.0,12.0,11.0,10.0,1.0,2.0,4.0,14.0,8.0,6.0,4.0,2.0,13.0,8.0,2.0,5.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,2.0,0.875,0.42105263157894735,0.6666666666666666,0.375,0.42105263157894735,,0.5909090909090909,0.5333333333333333,0.12173913043478261,0.047058823529411764,0.03278688524590164,0.08333333333333333,0.16129032258064516,0.1282051282051282,0.10810810810810811,,0.29906542056074764,0.375,0.4,0.25,,,,0.5714285714285714,0.5714285714285714,1.0,0.2897196261682243,0.3870967741935484,0.3870967741935484,0.8333333333333334,0.058823529411764705,0.29411764705882354,0.6,1.0,,0.32,0.375,0.3870967741935484,,4.0,8.0,3.0,2.0,,4.0,,,,0.0625,0.1111111111111111,0.08163265306122448,0.06666666666666667,1.0,6.0,2.0,1.0,2.0,0.08333333333333333,1.0,1.0,,,,,,,,
1630567,1610612761,Scottie Barnes,Scottie Barnes,1630567,TOR,14138.3,236.0,-3.0,471.0,471,127.0,146.0,59.0,942,35.0,82.0,536.0,3.0,38.0,54.0,28.0,124.0,125.0,0.036585365853658534,0.08571428571428572,26.605504587155963,0.3431372549019608,0.5392156862745098,0.5518122549019607,7.880487804878049,0.26963906581740976,3.0,36.0,145.0,6.0,14.0,45.0,6.0,10.0,34.0,7.0,21.0,3.0,5.0,16.0,2.0,32.0,47.0,20.0,41.0,0.5846774193548387,0.703125,0.047619047619047616,0.04739336492890995,0.047619047619047616,0.375,0.5688333333333334,0.16806722689075632,0.20202020202020202,0.3103448275862069,8.0,24.0,1.0,0.08163265306122448,0.0958904109589041,0.05454545454545454,21.0,2.0,8.0,13.0,44.0,3.0,12.0,11.0,19.0,22.0,0.25,0.2619047619047619,0.5365853658536586,0.5,0.5789473684210527,0.5343137254901961,0.375,0.6739130434782609,0.5,0.6,0.65625,0.3333333333333333,0.6666666666666666,,0.5652173913043478,0.6153846153846154,0.5988173913043479,0.08275862068965517,1.0,,20.0,4.0,0.19607843137254902,0.00980392156862745,,25.669999999999995,15.0,0.14705882352941177,False,17.0,32.0,6.0,1.0,,,6.0,19.0,,2.0,3.0,4.0,7.0,,2.0,3.0,66.0,18.0,19.0,6.0,16.0,13.0,3.0,8.0,4.0,13.0,3.0,8.0,5.0,3.0,14.0,11.0,1.0,3.0,,,5.0,10.0,3.0,7.0,11.0,2.0,2.0,3.0,0.8571428571428571,0.35,,0.75,0.35,,0.6666666666666666,0.2,0.10743801652892562,0.047058823529411764,0.06451612903225806,,,0.11494252873563218,0.08823529411764706,0.18181818181818182,0.3137254901960784,0.53125,0.53125,0.17647058823529413,0.4,0.4,0.16666666666666666,1.0,1.0,1.0,0.18627450980392157,0.3157894736842105,0.3157894736842105,0.8333333333333334,,0.25,,,,0.17391304347826086,0.75,0.3157894736842105,,6.0,4.0,4.0,1.0,,3.0,1.0,1.0,,,0.08333333333333333,0.017543859649122806,0.08333333333333333,,3.0,3.0,1.0,,0.4166666666666667,,,2.0,,,,,,,
